회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
1,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"공통점과 차이점, 속성과 특징을 바탕으로 정해진 기준에 따라 대상을 나누고 묶을 수 있으며, 대상의 특징을 눈여겨볼 수 있다.",success,True,4.57,70
1,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"여러 가지 물체나 수, 모양의 배열에서 반복되는 모양과 규칙을 찾을 수 있다. 주변의 다양한 배열 상황에서 반복되는 규칙을 찾고 이를 말이나 글로 표현할 수 있다.",success,True,4.23,91
1,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"대상을 관찰하여 속성과 특징을 바탕으로 공통점과 차이점을 찾을 수 있다. 물체나 수, 도형의 배열을 관찰하고 그 속성에서 반복되는 규칙을 찾아 공통점과 차이점을 설명할 수 있다.",success,True,5.93,99
1,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"변화하는 패턴을 관찰하여 규칙을 찾고, 규칙을 선이나 수식으로 연결하여 앞으로 일어날 일을 예측할 수 있다. 꺾은선그래프와 같은 자료의 변화 흐름과 원인과 결과를 바탕으로 다음에 나타날 변화를 짐작할 수 있다.",success,True,4.38,117
1,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,물체의 다양한 속성을 관찰하여 공통점과 차이점을 찾을 수 있다. 여러 대상이나 자료의 특징을 비교하여 공통점과 차이점을 찾아 설명할 수 있다.,success,True,9.82,79
1,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보려는 주제에 맞게 모을 대상을 정하고, 관찰이나 측정을 통해 필요한 데이터를 모을 수 있다.",success,True,8.17,54
1,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,수집한 데이터에서 빠지거나 잘못된 값을 찾을 수 있다.,success,True,4.34,30
1,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"자료에서 가장 많이 나온 값을 찾고, 자료를 크기순으로 줄 세워 가운데 값을 구할 수 있다.",success,True,4.96,51
1,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,"일어날 수 있는 모든 경우의 수와 조건에 맞는 경우를 세어, 전체에 대한 비율을 계산할 수 있다.",success,True,5.19,54
1,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,수집한 데이터를 한눈에 알아보기 쉽게 나타내기 위하여 자료의 특성과 목적에 알맞은 그래프 모양을 고를 수 있다.,success,True,6.12,62
1,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,여러 대상의 공통 속성을 찾아내어 비교하고 순서를 정할 수 있다. 구체물의 특징을 바탕으로 공통 속성을 찾아내어 차례대로 순서를 나타낼 수 있다.,success,True,10.08,81
1,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,규칙에 따라 동작 순서를 순차적으로 나열할 수 있다. 반복되는 규칙을 찾아 문제 해결을 위한 동작 순서를 순차적으로 나열할 수 있다.,success,True,5.54,74
1,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"대상이나 자료의 속성, 수량, 크기 등을 바탕으로 비교할 기준을 정하고, 이에 따라 대상을 비교하여 순서를 정할 수 있다.",success,True,5.63,68
1,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,대상의 특징으로 예 아니오 질문을 만들어 조건에 따라 분류하고 문제를 해결할 수 있다.,success,True,10.17,48
1,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"알아보고 싶은 내용을 정하여 질문을 만들고, 문제 해결에 필요한 데이터를 모을 수 있다.",success,True,6.32,49
1,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,"입력과 출력 장치를 연결하고 센서 값의 변화를 관찰하여, 조건에 따른 동작 규칙으로 작동하는 인공지능 사물을 제작할 수 있다.",success,True,4.41,70
1,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,대상들의 속성과 특징을 관찰하고 비교하여 공통점과 차이점을 찾을 수 있다. 조건에 맞춰 기준을 정하고 대상들을 분류할 수 있다.,success,True,4.83,71
1,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"외부에서 들어오는 자극과 반응을 연결할 수 있으며, 센서값으로 상태를 판단하여 로봇의 작동 원리를 이해하고 설명할 수 있다.",success,True,7.71,69
1,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"공통점과 차이점을 관찰하여 대상의 구별되는 특징을 찾아내고, 이를 바탕으로 대상을 분류하기 위한 예/아니오 질문을 만들 수 있다.",success,True,6.31,72
1,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"대상들의 공통점과 차이점을 관찰하고 예/아니오로 답할 수 있는 질문을 정하여, 질문 결과에 따라 대상을 갈라놓을 수 있다.",success,True,7.69,68
1,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자판의 칸 수를 세고, 색칠된 부분을 분수로 나타낼 수 있다. Digital 그림을 구성하는 전체 격자판에서 색칠된 칸의 크기를 분수로 표현할 수 있다.",success,True,4.54,86
1,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"한 칸 전체를 1로 두고 똑같이 나누며, 전체 칸수 중에서 색이 채워진 칸수를 세어 분수로 나타낼 수 있다.",success,True,6.7,60
1,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"수량에 따라 알맞은 그림 단위를 정하여 수량에 맞게 그림 개수를 붙이고, 그림의 길이와 개수를 비교할 수 있다.",success,True,6.2,62
1,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"격자판과 위치 좌표를 활용하여 이미지에서 색과 모양의 차이를 찾아내고, 테두리와 모서리의 선을 따낼 수 있다.",success,True,8.34,61
1,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,해결할 질문을 정하고 데이터에서 쓸모없는 정보를 골라낼 수 있다. 기준을 세워 차례대로 나열할 수 있다.,success,True,10.42,58
1,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",자료의 수를 크기에 맞추어 색이나 길이로 바꾸어 나타낼 수 있다. 수의 크기를 비교하여 알맞은 색이나 길이로 표현할 수 있다.,success,True,5.9,70
1,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,"여러 대상의 공통점과 차이점을 바탕으로 속성을 찾아내고, 알맞은 기준에 따라 분류할 수 있다.",success,True,4.18,52
