회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
1,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"대상의 속성을 관찰하여 공통점과 차이점을 찾아내고, 알맞은 기준에 따라 분류하여 무리 지을 수 있다.",success,True,9.94,56
1,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 대상이나 모양을 관찰하여 같은 점과 다른 점을 찾을 수 있다. 대상들의 같은 점과 다른 점을 바탕으로 반복되거나 달라지는 규칙을 찾아 나타낼 수 있다.,success,True,6.04,87
1,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,수나 도형의 배열에서 반복되는 모양을 찾아 규칙을 설명할 수 있다. 다양한 자료나 물체의 배열에서 규칙성을 탐구하고 반복되는 모양을 찾아 표현할 수 있다.,success,True,9.22,86
1,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"과거 자료 모으기를 통해 변화하는 흐름을 관찰하고, 이를 바탕으로 앞으로 일어날 일을 짐작하여 설명할 수 있다.",success,True,4.83,62
1,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,관찰 대상을 살펴 공통점과 차이점을 탐색할 수 있다. 여러 관찰 대상의 특징을 파악하기 위해 공통점과 차이점을 찾아 설명할 수 있다.,success,True,15.64,74
1,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,알아보려는 목적에 따라 필요한 정보를 정하고 이를 바탕으로 자료를 데이터로 수집할 수 있다.,success,True,4.52,51
1,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,"수집한 데이터나 작성한 표, 그래프를 확인하여 빠진 곳이나 잘못된 곳을 찾아낼 수 있다. 수집한 자료의 내용을 검토하여 빠진 곳이나 잘못된 곳을 찾아 바르게 고칠 수 있다.",success,True,5.86,96
1,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"자료를 크기순으로 나열할 수 있으며, 주어진 자료에서 가장 많이 나온 값을 찾고 전체를 대표하는 평균을 구하여 나타낼 수 있다.",success,True,8.18,71
1,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,모든 경우의 수를 세고 조건에 맞는 경우를 나누어 세어 전체에 대한 부분의 비율을 구할 수 있다.,success,True,4.89,54
1,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,수집한 데이터의 수치에 맞는 그림이나 모양을 정하여 나타낼 수 있다. 표와 그래프를 활용하여 데이터를 눈으로 확인하기 쉽게 표현할 수 있다.,success,True,5.64,78
1,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,여러 대상의 공통 속성을 찾아 크기나 양을 비교하고 순서를 정할 수 있다. 직접 비교나 간접 비교를 통해 속성의 차이를 파악하고 정해진 순서대로 나타낼 수 있다.,success,True,4.95,90
1,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,여러 상황이나 차례에서 반복되는 똑같은 동작을 찾을 수 있다. 순서와 조건에 따라 똑같은 동작을 찾아 규칙을 적용할 수 있다.,success,True,5.66,70
1,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"대상을 비교할 속성을 정하고, 그 속성에 따라 수나 양의 크기를 비교하여 순서를 정할 수 있다.",success,True,4.38,53
1,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,예와 아니오로 답할 수 있는 질문을 순서대로 만들어 조건에 따라 알맞은 답을 찾거나 대상을 분류할 수 있다.,success,True,5.52,60
1,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"알아보려는 문제를 해결하기 위해 탐구할 질문을 만들고, 그 질문에 알맞은 데이터와 자료를 모을 수 있다. 탐구하고 싶은 내용을 바탕으로 질문을 스스로 만들고 이에 필요한 자료를 모을 수 있다.",success,True,7.52,107
1,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,센서 값의 변화를 관찰하고 입력과 출력을 연결하여 상태에 따른 동작 규칙을 정할 수 있다. 이를 바탕으로 인공지능 사물의 동작을 설계하고 제작할 수 있다.,success,True,6.47,86
1,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"생물의 특징을 관찰하여 공통점과 차이점을 찾고, 정해진 조건에 따라 대상을 분류할 수 있다.",success,True,5.13,51
1,로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"주변의 자극과 변화를 알아채고, 입력에 따른 행동 규칙을 정하여 인공지능 로봇의 작동 원리를 설명할 수 있다.",success,True,4.7,61
1,분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,대상의 공통점과 차이점을 관찰하여 명확한 조건 문장을 만들 수 있다. 예외 사례를 확인하고 알맞게 기준을 수정할 수 있다.,success,True,5.29,68
1,의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"대상의 특징으로 예/아니오 질문을 만들고, 질문 하나로 대상을 둘로 가를 수 있다. 가장 잘 갈라지는 질문 순서를 정하여 조건에 따라 알맞게 판단할 수 있다.",success,True,9.19,88
1,분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"전체 격자 칸 수를 세고, 칠해진 영역을 분수로 나타낼 수 있다. 격자 칸 수와 칠해진 영역의 관계를 바탕으로 전체에 대한 부분의 크기를 분수로 표현할 수 있다.",success,True,6.65,90
1,분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자에 색을 칠하고 전체 칸 수와 칠해진 칸 수를 세어 분수로 나타낼 수 있으며, 전체에 대한 부분의 비율을 활용하여 디지털 화면의 정보를 표현할 수 있다.",success,True,7.12,87
1,그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"자료를 바탕으로 그림 단위를 정하고, 수량에 맞춰 그림 개수를 붙여 나타내며, 그림의 높이나 길이를 비교할 수 있다.",success,True,5.16,65
1,이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"대상의 색과 모양을 눈으로 살펴보고, 밝기가 급격히 바뀌는 테두리를 찾을 수 있다. 관찰을 통해 밝기의 변화를 확인하고 물체의 테두리를 찾아낼 수 있다.",success,True,6.65,85
1,목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"해결할 문제를 정하고 이를 해결하는 데 필요한 정보만 골라내며, 목적에 맞는 분류 기준을 세워 데이터를 정리할 수 있다.",success,True,6.13,67
1,데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","수집한 데이터를 한눈에 알아볼 수 있도록 나타내어 값의 크기를 비교할 수 있다. 알맞은 그림이나 그래프를 활용하여 데이터를 시각화하고, 이를 바탕으로 값의 크기를 쉽게 비교할 수 있다.",success,True,7.29,103
1,분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,여러 대상의 속성과 특징을 살펴 공통점과 차이점을 찾을 수 있다. 대상의 공통점과 차이점을 비교하여 알맞은 기준에 따라 분류할 수 있다.,success,True,4.92,76
